Sample Description,SampleLabel,TnPrepLabel,SRA Accession Number
H+_1,A8,5954,SRR23906890
H+_2,B7,5962,SRR23906889
H+_3,B6,5961,SRR23906870
H++_1,A2,5948,SRR23906879
H++_2,A10,5956,SRR23906888
H++_3,A6,5952,SRR23906869
H+++_1,B2,WMTnSeqB2X,SRR23906868
H+++_2,A1,5947,SRR23906887
H+++_3,B1,5957,SRR23906867
In_1,B5,5960,SRR23906902
In_2,A7,5953,SRR23906892
In_3,A3,5949,SRR23906872
ND_1,B10,5964,SRR23906901
ND_2,A5,5951,SRR23906891
ND_3,B9,5963,SRR23906871
R+_1,A9,5955,SRR23906857
R+_2,A4,5950,SRR23906886
R+_3,B3,WMTnSeqB3X,SRR23906866
